icp_rank,company,location,phone,email,website,service_lines,adjacent_service_lines,estimated_size_signal,icp_score,evidence_tier,score_service_fit,score_complexity,score_scale,score_data_confidence,source,source_url,evidence_urls
11,Brazos Valley Trash Valet & Recycling,"College Station, TX",979-777-8968,service@bvtrashvalet.com,http://www.bvtrashvalet.com/,roll-off | residential | commercial | recycling,construction & demolition | compactor,Not verified,83,High,40,20,5,18,City of College Station — Franchised Haulers,https://www.cstx.gov/living-here/trash-and-recycling/commercial-services/,https://www.bvtrashvalet.com/ | https://www.bvtrashvalet.com/multi-family-trash-recycling-service/ | https://www.bvtrashvalet.com/residential-recycling-service/ | https://www.bvtrashvalet.com/residential-trash-recycling-service/ | https://www.bvtrashvalet.com/residential-trash-service/
12,Brimley Site Services LLC,"Weatherford, TX",817-694-3867,customerservice@brimleysiteservices.com,https://www.brimleysiteservices.com/,roll-off | residential | commercial | recycling,construction & demolition,Not verified,83,High,40,20,5,18,City of Weatherford — Approved Commercial Waste Haulers,https://weatherfordtx.gov/3545/Approved-Commercial-Waste-Haulers,https://www.brimleysiteservices.com/ | https://www.brimleysiteservices.com/book-dumpster | https://www.brimleysiteservices.com/dumpster-rental-start | https://www.brimleysiteservices.com/service-areas | https://www.brimleysiteservices.com/service-areas/erath-county-tx
13,Bubba Dumpsters,"Weatherford, TX",817-304-8205,info@bubbadumpsters.com,https://www.bubbadumpsters.com/,roll-off | residential | commercial,construction & demolition,Not verified,83,High,40,20,5,18,City of Weatherford — Approved Commercial Waste Haulers,https://weatherfordtx.gov/3545/Approved-Commercial-Waste-Haulers,https://www.bubbadumpsters.com/
14,Bullseye Site Services,"College Station, TX",979-587-2021,info@bullseyesiteservices.com,http://bullseyesiteservices.com/,roll-off | residential | recycling,construction & demolition,Not verified,83,High,40,20,5,18,City of College Station — Franchised Haulers,https://www.cstx.gov/living-here/trash-and-recycling/commercial-services/,https://www.bullseyesiteservices.com/ | https://www.bullseyesiteservices.com/contact
15,Container Source,"College Station, TX",979-830-5350,sales@containersourceinc.com,https://containersourceinc.com/,roll-off | residential | commercial,construction & demolition,Not verified,83,High,40,20,5,18,City of College Station — Franchised Haulers,https://www.cstx.gov/living-here/trash-and-recycling/commercial-services/,https://containersourceinc.com/ | https://containersourceinc.com/dumpster-rentals/ | https://containersourceinc.com/service-areas/ | https://containersourceinc.com/about/ | https://containersourceinc.com/contact/
16,Control Waste Solutions/Services,"Houston, TX",281-537-8442,service@controlwasteservices.com,https://www.controlwasteservices.com/,roll-off | residential | commercial | recycling,construction & demolition | compactor,Not verified,83,High,40,20,5,18,City of Houston — Franchised Commercial Solid Waste Haulers,https://www.houstontx.gov/ara/franchise/solid_waste_hauler_operators.pdf,https://www.controlwasteservices.com/ | https://www.controlwasteservices.com/delivery-services | https://www.controlwasteservices.com/dumpsters | https://www.controlwasteservices.com/front-load-dumpsters | https://www.controlwasteservices.com/roll-off-containers
17,Custom Recycling Solutions,"Garland, TX",469-994-3768,rich@customrecyclingsolutions.com,https://www.customrecyclingsolutions.com/,roll-off | residential | commercial | recycling,construction & demolition | compactor,Not verified,83,High,40,20,5,18,City of Garland — Approved Franchise Haulers,https://www.garlandtx.gov/3771/Approved-Hauler-List,https://www.customrecyclingsolutions.com/ | https://www.customrecyclingsolutions.com/projects | https://www.customrecyclingsolutions.com/services | https://www.customrecyclingsolutions.com/about-us | https://www.customrecyclingsolutions.com/contact
18,D&A Waste Disposal Services,"Garland, TX",214-418-7018,info@dandawaste.com,https://dandawaste.com/,roll-off | residential | commercial,construction & demolition,Not verified,83,High,40,20,5,18,City of Garland — Approved Franchise Haulers,https://www.garlandtx.gov/3771/Approved-Hauler-List,https://dandawaste.com/ | https://dandawaste.com/construction-dumpster-rental/ | https://dandawaste.com/residential-dumpster-rental/ | https://dandawaste.com/roll-off-dumpster/ | https://dandawaste.com/contact-us/
19,"Delta Solid Waste Management, LLC","Garland, TX",972-877-7798,info@deltawasteservices.com,https://deltawasteservices.com/,roll-off | residential | commercial,construction & demolition,Not verified,83,High,40,20,5,18,City of Garland — Approved Franchise Haulers,https://www.garlandtx.gov/3771/Approved-Hauler-List,https://deltawasteservices.com/ | https://deltawasteservices.com/our-dumpster/ | https://deltawasteservices.com/service-areas/ | https://deltawasteservices.com/about-us/
20,Fresh Can LLC dba Texas Waste Co.,"Houston, TX",832-376-8965,sales@texanwasteservices.com,https://texanwasteservices.com/,roll-off | commercial,construction & demolition | compactor,Not verified,83,High,40,20,5,18,City of Houston — Franchised Commercial Solid Waste Haulers,https://www.houstontx.gov/ara/franchise/solid_waste_hauler_operators.pdf,https://texanwasteservices.com/ | https://texanwasteservices.com/compactor-pull-service/ | https://texanwasteservices.com/dumpster-rental/ | https://texanwasteservices.com/commercial-properties/ | https://texanwasteservices.com/commercial/
21,H D Waste & Recycling LLC,"Garland, TX",214-792-9199,service@hdwastetx.com,https://hdwastetx.com/,roll-off | commercial | recycling,construction & demolition | compactor,Not verified,83,High,40,20,5,18,City of Garland — Approved Franchise Haulers,https://www.garlandtx.gov/3771/Approved-Hauler-List,https://hdwastetx.com/ | https://hdwastetx.com/services-hd/compactor-services/ | https://hdwastetx.com/services-hd/front-load-services/ | https://hdwastetx.com/services-hd/roll-off-services/ | https://hdwastetx.com/about-hd/
22,"Hurricane Waste Systems, LLC","Mesquite, TX",972-251-7177,dispatch@hurricanewaste.com,https://hurricanewaste.com/,roll-off | residential | commercial | recycling,construction & demolition | compactor,Not verified,83,High,40,20,5,18,City of Mesquite — Permitted Recycling Haulers,https://www.cityofmesquite.com/2080/Permitted-Recycling-Haulers,https://hurricanewaste.com/ | https://hurricanewaste.com/roll-off | https://hurricanewaste.com/about | https://hurricanewaste.com/contact-us
23,JJ's Waste & Recycling,"Austin, TX",512-267-9290,austin@jjswaste.com,https://jjswaste.com/,roll-off | commercial | recycling,portable toilet | construction & demolition | compactor,Not verified,83,High,40,20,5,18,City of Austin — URO Licensed Haulers,https://www.austintexas.gov/resource-recovery/universal-recycling-ordinance-uro-licensed-haulers,https://jjswaste.com/ | https://jjswaste.com/about/customer-service/ | https://jjswaste.com/services/cardboard-recycling-services/ | https://jjswaste.com/services/commercial-trash-services/ | https://jjswaste.com/services/compactors/
24,"Lossen Bros, Inc.","College Station, TX",512-845-3076,filler@godaddy.com,https://lossenbrosinc.com/,roll-off | residential | commercial,construction & demolition,Not verified,83,High,40,20,5,18,City of College Station — Franchised Haulers,https://www.cstx.gov/living-here/trash-and-recycling/commercial-services/,https://lossenbrosinc.com/ | https://lossenbrosinc.com/services | https://lossenbrosinc.com/about | https://lossenbrosinc.com/contact-us
25,"Nation Waste, Inc.","Houston, TX",713-649-7776,info@nationwaste.us,https://nationwaste.us/,roll-off | commercial | recycling,portable toilet | construction & demolition,Not verified,83,High,40,20,5,18,City of Houston — Franchised Commercial Solid Waste Haulers,https://www.houstontx.gov/ara/franchise/solid_waste_hauler_operators.pdf,https://nationwaste.us/ | https://nationwaste.us/3-about-us/service-area/ | https://nationwaste.us/our-services/dumpsters-roll-off-containers-compactors/ | https://nationwaste.us/our-services/nation-safety-net/ | https://nationwaste.us/our-services/portable-restrooms-hand-washing-stations-holding-tanks/
26,Pro Star Roll-Off Dumpsters,"New Braunfels, TX",210-737-1002,cs@prostardumpsters.com,https://prostardumpsters.com/,roll-off | residential | commercial | recycling,construction & demolition,Not verified,83,High,40,20,5,18,City of New Braunfels — Permitted Private Haulers,https://www.newbraunfels.gov/4032/Community-Resources,https://prostardumpsters.com/ | https://prostardumpsters.com/service-areas/ | https://prostardumpsters.com/service/commercial-dumpster-rentals/ | https://prostardumpsters.com/service/construction-dumpster-rentals/ | https://prostardumpsters.com/service/residential-dumpster-rentals/
27,Redbox+Of Dallas,"Garland, TX",214-883-6645,info@redboxplus.com,https://www.redboxplus.com/,roll-off | residential | commercial | recycling,portable toilet | construction & demolition,Not verified,83,High,40,20,5,18,City of Garland — Approved Franchise Haulers,https://www.garlandtx.gov/3771/Approved-Hauler-List,https://www.redboxplus.com/ | https://www.redboxplus.com/about/about-our-dumpsters-service/ | https://www.redboxplus.com/about/best-dumpster-rental/ | https://www.redboxplus.com/about/dumpster-rental-blog/ | https://www.redboxplus.com/dumpster-rental-faqs/
28,Scotts Dumpsters,"Weatherford, TX",940-682-1740,scottsdumpsters@gmail.com,https://scottsdumpsters.net/,roll-off | residential | commercial,construction & demolition,Not verified,83,High,40,20,5,18,City of Weatherford — Approved Commercial Waste Haulers,https://weatherfordtx.gov/3545/Approved-Commercial-Waste-Haulers,https://scottsdumpsters.net/ | https://scottsdumpsters.net/dumpster-info | https://scottsdumpsters.net/services | https://scottsdumpsters.net/contact-us
29,Waste Transfer Partners,"Houston, TX",713-882-8850,info@wastetransferpartners.com,https://www.wtpwaste.com/,roll-off | commercial | recycling,construction & demolition | compactor,Not verified,83,High,40,20,5,18,City of Houston — Franchised Commercial Solid Waste Haulers,https://www.houstontx.gov/ara/franchise/solid_waste_hauler_operators.pdf,https://www.wtpwaste.com/ | https://www.wtpwaste.com/services | https://www.wtpwaste.com/blank | https://www.wtpwaste.com/blank-2
30,Advantage Waste Disposal,"Garland, TX | Plano, TX",972-222-2444,Not verified,https://www.advantagewastedisposal.net/,roll-off | residential | commercial | recycling,portable toilet | construction & demolition | compactor,Not verified,82,Medium,40,20,5,17,City of Garland — Approved Franchise Haulers | City of Plano — General Permitted Haulers,https://content.civicplus.com/api/assets/a1b2b099-3346-482b-8fd8-e009a14f449b?cache=1800 | https://www.garlandtx.gov/3771/Approved-Hauler-List,https://www.advantagewastedisposal.net/ | https://www.advantagewastedisposal.net/addison-dumpster-rental-tx | https://www.advantagewastedisposal.net/blog-dallas-dumpster-company | https://www.advantagewastedisposal.net/carrollton-dumpster-rental-tx | https://www.advantagewastedisposal.net/concrete-washout-dumpster-rental
31,Balcones Recycling,"Austin, TX | Garland, TX | Mesquite, TX | Plano, TX",972-481-1400,Not verified,https://www.balconesrecycling.com/,residential | commercial | recycling,construction & demolition,Not verified,82,Medium,40,20,5,17,City of Austin — URO Licensed Haulers | City of Garland — Approved Franchise Haulers | City of Mesquite — Permitted Recycling Haulers | City of Plano — General Permitted Haulers,https://content.civicplus.com/api/assets/a1b2b099-3346-482b-8fd8-e009a14f449b?cache=1800 | https://www.austintexas.gov/resource-recovery/universal-recycling-ordinance-uro-licensed-haulers | https://www.cityofmesquite.com/2080/Permitted-Recycling-Haulers | https://www.garlandtx.gov/3771/Approved-Hauler-List,https://circularservices.com/ | https://circularservices.com/news/circular-services-selected-as-recycling-partner-for-mecklenburg-county-nc/ | https://circularservices.com/our-services/ | https://circularservices.com/our-services/materials-trading/ | https://circularservices.com/our-services/materials-trading/buyers/
32,Community Waste Disposal,"Garland, TX | Plano, TX",972-392-9300,Not verified,https://www.communitywastedisposal.com/,roll-off | residential | commercial | recycling,Not verified,Not verified,82,Medium,40,20,5,17,City of Garland — Approved Franchise Haulers | City of Plano — General Permitted Haulers,https://content.civicplus.com/api/assets/a1b2b099-3346-482b-8fd8-e009a14f449b?cache=1800 | https://www.garlandtx.gov/3771/Approved-Hauler-List,https://www.communitywastedisposal.com/ | https://www.communitywastedisposal.com/customer-service-cwd/ | https://www.communitywastedisposal.com/cwd-services/commercial-dumpster-rental/equipment/ | https://www.communitywastedisposal.com/cwd-services/residential-trash-and-recycling/
33,Supreme Recycling,"Garland, TX | Plano, TX",214-239-9066,Not verified,https://dfwwastehaulers.com/,roll-off | commercial | recycling,construction & demolition | compactor,Not verified,82,Medium,40,20,5,17,City of Garland — Approved Franchise Haulers | City of Plano — C&D Permitted Haulers | City of Plano — General Permitted Haulers,https://content.civicplus.com/api/assets/a1b2b099-3346-482b-8fd8-e009a14f449b?cache=1800 | https://content.civicplus.com/api/assets/tx-plano/92895e8f-c9f6-4259-88b6-ac913cae7660?cache=1800 | https://www.garlandtx.gov/3771/Approved-Hauler-List,https://dfwwastehaulers.com/ | https://dfwwastehaulers.com/dumpster-services/ | https://dfwwastehaulers.com/industrial-waste-services/ | https://dfwwastehaulers.com/recycling-services/ | https://dfwwastehaulers.com/roll-off-dumpster-rentals/
34,Waste Management,"Austin, TX | Garland, TX | Mesquite, TX",214-952-8046,Not verified,http://www.wm.com/,roll-off | residential | commercial | recycling,construction & demolition,Not verified,82,Medium,40,20,5,17,City of Austin — URO Licensed Haulers | City of Garland — Approved Franchise Haulers | City of Mesquite — Permitted Recycling Haulers,https://www.austintexas.gov/resource-recovery/universal-recycling-ordinance-uro-licensed-haulers | https://www.cityofmesquite.com/2080/Permitted-Recycling-Haulers | https://www.garlandtx.gov/3771/Approved-Hauler-List,https://www.wm.com/ | https://www.wm.com/us/en/dumpster-rental | https://www.wm.com/us/en/home/residential-waste-recycling-pickup | https://www.wm.com/us/en/mywm/my-services/view-pickup-eta
35,Break It Down,"Austin, TX",512-497-3477,Not verified,https://www.breakitdownaustin.com/,roll-off | residential | commercial | recycling,Not verified,Not verified,80,Medium,40,20,5,15,City of Austin — URO Licensed Haulers,https://www.austintexas.gov/resource-recovery/universal-recycling-ordinance-uro-licensed-haulers,https://breakitdowntexas.com/ | https://breakitdowntexas.com/break-it-down-an-inside-look-at-our-services-methodology/ | https://breakitdowntexas.com/composting-and-recycling/ | https://breakitdowntexas.com/commercial-composting/
36,EZ Waste,"Houston, TX",713-514-0255,Not verified,https://ezwasteinc.com/,roll-off | residential | commercial | recycling,construction & demolition,Not verified,80,Medium,40,20,5,15,City of Houston — Franchised Commercial Solid Waste Haulers,https://www.houstontx.gov/ara/franchise/solid_waste_hauler_operators.pdf,https://ezwasteinc.com/ | https://ezwasteinc.com/10-yard-low-boy-dumpster/ | https://ezwasteinc.com/10-yard-mini-dumpster/ | https://ezwasteinc.com/20-yard-dumpster/ | https://ezwasteinc.com/20-yard-mini-dumpster/
37,Gainsborough Waste,"Houston, TX",713-785-8050,Not verified,https://www.gainsboroughwaste.com/,roll-off | residential | commercial | recycling,construction & demolition,Not verified,80,Medium,40,20,5,15,City of Houston — Franchised Commercial Solid Waste Haulers,https://www.houstontx.gov/ara/franchise/solid_waste_hauler_operators.pdf,https://www.gainsboroughwaste.com/ | https://www.gainsboroughwaste.com/commercial-collection-services/ | https://www.gainsboroughwaste.com/emergency-services/ | https://www.gainsboroughwaste.com/special-events-waste-management/
38,Laroles Qmbs LLC DBA College Hunks Hauling Junk and Moving,"Garland, TX",469-456-3191,Not verified,https://www.collegehunkshaulingjunk.com/,residential | commercial | recycling,construction & demolition,Not verified,80,Medium,40,20,5,15,City of Garland — Approved Franchise Haulers,https://www.garlandtx.gov/3771/Approved-Hauler-List,https://www.collegehunkshaulingjunk.com/ | https://www.collegehunkshaulingjunk.com/labor/ | https://www.collegehunkshaulingjunk.com/moving/ | https://www.collegehunkshaulingjunk.com/moving/commercial-moving-services/ | https://www.collegehunkshaulingjunk.com/moving/residential-moving/
39,Parker Waste Services,"Weatherford, TX",817-938-1504,Not verified,https://www.parkerwasteservices.com/,roll-off | residential | recycling,construction & demolition,Not verified,80,Medium,40,20,5,15,City of Weatherford — Approved Commercial Waste Haulers,https://weatherfordtx.gov/3545/Approved-Commercial-Waste-Haulers,https://www.parkerwasteservices.com/ | https://www.parkerwasteservices.com/copy-of-dumpster-rental-guidlines | https://www.parkerwasteservices.com/dumpster-rental-guidlines | https://www.parkerwasteservices.com/holiday-service-days
40,S&H Waste Services,"Garland, TX",972-682-3727,Not verified,https://www.shwaste.com/,roll-off | commercial | recycling,portable toilet | construction & demolition,Not verified,80,Medium,40,20,5,15,City of Garland — Approved Franchise Haulers,https://www.garlandtx.gov/3771/Approved-Hauler-List,https://www.shwaste.com/ | https://www.shwaste.com/services | https://www.shwaste.com/services-4 | https://www.shwaste.com/our-trucks-teams
41,Texas Commercial Waste,"College Station, TX",979-775-7171,Not verified,http://www.texascommercialwaste.com/,roll-off | residential | commercial | recycling,portable toilet | construction & demolition,Not verified,80,Medium,40,20,5,15,City of College Station — Franchised Haulers,https://www.cstx.gov/living-here/trash-and-recycling/commercial-services/,https://www.texascommercialwaste.com/ | https://www.texascommercialwaste.com/bags-rural-services | https://www.texascommercialwaste.com/commercial-waste-services | https://www.texascommercialwaste.com/dumpster-rental | https://www.texascommercialwaste.com/municipal-services
42,The Dumpster Guyss,"Houston, TX",281-659-1700,Not verified,https://www.thedumpsterguys.com/,roll-off | residential | commercial,construction & demolition,Not verified,80,Medium,40,20,5,15,City of Houston — Franchised Commercial Solid Waste Haulers,https://www.houstontx.gov/ara/franchise/solid_waste_hauler_operators.pdf,https://www.thedumpsterguys.com/ | https://www.thedumpsterguys.com/dumpsters | https://www.thedumpsterguys.com/contact-us
43,Waste Falcon,"College Station, TX",877-779-2783,Not verified,https://wastefalcon.com/,roll-off | residential | commercial | recycling,construction & demolition,Not verified,80,Medium,40,20,5,15,City of College Station — Franchised Haulers,https://www.cstx.gov/living-here/trash-and-recycling/commercial-services/,https://wastefalcon.com/ | https://wastefalcon.com/dumpster-sizes/ | https://wastefalcon.com/service-areas/ | https://wastefalcon.com/services/ | https://wastefalcon.com/services/commercial-dumpster-rental/
44,Z Sites Services,"College Station, TX",281-688-6941,Not verified,http://www.zsites.com/,roll-off | residential | commercial,portable toilet | construction & demolition,Not verified,80,Medium,40,20,5,15,City of College Station — Franchised Haulers,https://www.cstx.gov/living-here/trash-and-recycling/commercial-services/,https://www.zsites.com/ | https://www.zsites.com/construction-site-services | https://www.zsites.com/construction-site-services/all-about-storage-containers | https://www.zsites.com/construction-site-services/benefits-of-temporary-fencing | https://www.zsites.com/construction-site-services/temporary-fence-rental-guide
45,Caffey & Sons,"College Station, TX",979-820-1322,info@caffeyandsons.com,https://www.caffeyandsons.com/,residential | commercial,construction & demolition,Not verified,79,High,40,16,5,18,City of College Station — Franchised Haulers,https://www.cstx.gov/living-here/trash-and-recycling/commercial-services/,https://www.caffeyandsons.com/ | https://www.caffeyandsons.com/about-us-1 | https://www.caffeyandsons.com/contact-us
46,Discount Dumpsters LLC,"Garland, TX",972-900-3867,office@discountdumpstersdfw.com,https://discountdumpstersdfw.com/,roll-off | commercial,construction & demolition,Not verified,79,High,40,16,5,18,City of Garland — Approved Franchise Haulers,https://www.garlandtx.gov/3771/Approved-Hauler-List,https://discountdumpstersdfw.com/ | https://discountdumpstersdfw.com/our-dumpsters/ | https://discountdumpstersdfw.com/contact/
47,Drop & Go Dumpsters,"College Station, TX",979-807-4522,info@dropandgodumpsters.com,https://dropandgodumpsters.com/,roll-off | commercial,construction & demolition,Not verified,79,High,40,16,5,18,City of College Station — Franchised Haulers,https://www.cstx.gov/living-here/trash-and-recycling/commercial-services/,https://dropandgodumpsters.com/ | https://dropandgodumpsters.com/dumpster-sizes/ | https://dropandgodumpsters.com/about/
48,Moonshot Compost,"Austin, TX",855-544-1885,info@moonshotcompost.com,https://www.moonshotcompost.com/,residential | commercial | recycling,Not verified,Not verified,79,High,40,16,5,18,City of Austin — URO Licensed Haulers,https://www.austintexas.gov/resource-recovery/universal-recycling-ordinance-uro-licensed-haulers,https://www.moonshotcompost.com/ | https://www.moonshotcompost.com/service-areas | https://www.moonshotcompost.com/residential | https://www.moonshotcompost.com/about
49,Precision Demolition,"Plano, TX",972-434-0800,info@precisiondemolition.com,https://www.precisiondemolition.com/,commercial | recycling,construction & demolition,Not verified,79,High,40,16,5,18,City of Plano — C&D Permitted Haulers,https://content.civicplus.com/api/assets/tx-plano/92895e8f-c9f6-4259-88b6-ac913cae7660?cache=1800,https://www.precisiondemolition.com/ | https://www.precisiondemolition.com/services | https://www.precisiondemolition.com/contact-us-1
